iter	Passed	Remaining
0	138	138186
1	139	69834
2	141	46999
3	142	35472
4	143	28524
5	144	23881
6	145	20588
7	145	18076
8	146	16108
9	146	14550
10	147	13279
11	148	12208
12	148	11297
13	149	10527
14	150	9851
15	150	9261
16	151	8741
17	151	8275
18	152	7857
19	152	7480
20	153	7139
21	153	6832
22	154	6548
23	154	6293
24	155	6056
25	155	5839
26	156	5634
27	156	5446
28	157	5272
29	158	5109
30	158	4954
31	159	4810
32	159	4674
33	160	4549
34	160	4428
35	161	4315
36	161	4207
37	162	4108
38	162	4013
39	163	3923
40	163	3835
41	164	3754
42	165	3676
43	165	3600
44	166	3528
45	166	3458
46	167	3392
47	167	3327
48	168	3266
49	168	3206
50	169	3151
51	170	3107
52	170	3053
53	171	3003
54	172	2955
55	172	2908
56	173	2862
57	173	2819
58	174	2776
59	174	2734
60	175	2698
61	175	2659
62	176	2622
63	176	2587
64	177	2553
65	178	2519
66	178	2486
67	179	2454
68	179	2424
69	180	2394
70	180	2364
71	181	2336
72	181	2307
73	182	2280
74	183	2263
75	183	2236
76	184	2210
77	184	2186
78	185	2162
79	186	2139
80	186	2115
81	187	2093
82	187	2069
83	187	2048
84	188	2027
85	189	2015
86	190	1995
87	190	1975
88	191	1958
89	191	1939
90	192	1922
91	193	1905
92	193	1889
93	194	1872
94	194	1855
95	195	1838
96	195	1822
97	196	1806
98	196	1789
99	197	1774
100	197	1759
101	198	1745
102	198	1731
103	199	1717
104	199	1703
105	200	1689
106	200	1676
107	201	1663
108	202	1651
109	202	1640
110	203	1627
111	203	1614
112	204	1602
113	204	1590
114	205	1578
115	205	1567
116	206	1555
117	206	1544
118	207	1533
119	207	1524
120	208	1514
121	208	1504
122	209	1494
123	210	1484
124	210	1474
125	211	1465
126	211	1455
127	212	1445
128	212	1437
129	213	1427
130	214	1421
131	214	1413
132	215	1404
133	215	1395
134	216	1386
135	216	1377
136	217	1370
137	218	1361
138	218	1353
139	219	1345
140	219	1337
141	219	1328
142	220	1321
143	221	1314
144	221	1307
145	222	1299
146	222	1293
147	223	1285
148	223	1278
149	224	1271
150	224	1264
151	225	1257
152	225	1250
153	226	1243
154	226	1237
155	227	1230
156	228	1226
157	228	1220
158	229	1213
159	229	1207
160	230	1200
161	230	1194
162	231	1188
163	231	1182
164	232	1176
165	233	1171
166	233	1165
167	234	1160
168	234	1154
169	235	1149
170	235	1143
171	236	1137
172	236	1132
173	237	1127
174	237	1121
175	238	1116
176	239	1111
177	239	1106
178	240	1101
179	241	1099
180	241	1094
181	242	1089
182	242	1084
183	243	1079
184	243	1074
185	244	1069
186	244	1064
187	245	1060
188	245	1055
189	246	1050
190	246	1046
191	247	1041
192	248	1037
193	248	1032
194	249	1028
195	249	1023
196	250	1019
197	250	1015
198	251	1011
199	251	1006
200	252	1002
201	252	998
202	253	994
203	253	990
204	254	986
205	254	982
206	255	978
207	256	975
208	256	971
209	257	967
210	257	963
211	258	959
212	258	955
213	259	952
214	259	948
215	260	944
216	260	940
217	261	936
218	261	933
219	262	929
220	262	926
221	263	922
222	263	918
223	264	915
224	264	911
225	265	908
226	266	907
227	267	904
228	267	901
229	268	897
230	268	894
231	269	890
232	269	887
233	270	884
234	270	880
235	271	877
236	271	874
237	272	870
238	272	867
239	273	865
240	273	861
241	274	858
242	274	855
243	275	852
244	275	849
245	276	847
246	276	844
247	277	841
248	277	838
249	278	835
250	279	833
251	279	830
252	280	827
253	280	825
254	281	822
255	281	819
256	282	817
257	283	814
258	283	811
259	284	809
260	284	806
261	286	805
262	286	803
263	287	800
264	287	797
265	288	794
266	288	792
267	288	789
268	289	786
269	289	783
270	290	781
271	290	778
272	291	775
273	291	773
274	292	770
275	292	767
276	293	765
277	293	763
278	294	761
279	295	758
280	295	756
281	296	753
282	296	751
283	297	748
284	297	746
285	298	744
286	298	742
287	299	739
288	299	737
289	300	735
290	300	733
291	301	730
292	301	728
293	302	726
294	303	724
295	303	721
296	304	719
297	304	717
298	305	715
299	305	713
300	306	710
301	306	708
302	307	706
303	307	704
304	308	702
305	308	699
306	309	697
307	309	695
308	310	693
309	310	691
310	311	689
311	311	687
312	312	685
313	312	683
314	313	681
315	313	679
316	314	677
317	314	675
318	315	673
319	315	671
320	316	669
321	316	667
322	317	665
323	317	663
324	318	661
325	318	659
326	319	657
327	319	655
328	320	653
329	320	651
330	321	649
331	322	647
332	322	645
333	322	643
334	323	642
335	324	640
336	324	638
337	325	636
338	325	634
339	325	632
340	326	630
341	326	628
342	327	627
343	327	625
344	328	623
345	329	622
346	329	620
347	330	618
348	330	616
349	331	614
350	331	613
351	332	611
352	332	609
353	333	607
354	333	606
355	334	604
356	334	602
357	335	600
358	335	599
359	336	597
360	336	596
361	337	594
362	337	592
363	338	591
364	338	589
365	339	588
366	339	586
367	340	584
368	341	583
369	341	581
370	342	579
371	342	578
372	343	576
373	343	575
374	344	573
375	344	572
376	345	570
377	345	569
378	346	567
379	346	565
380	347	564
381	347	562
382	348	561
383	349	560
384	349	558
385	350	557
386	350	555
387	351	553
388	351	552
389	352	550
390	352	549
391	353	547
392	353	546
393	354	544
394	354	543
395	355	541
396	355	540
397	356	539
398	356	537
399	357	536
400	357	534
401	358	533
402	358	531
403	359	530
404	360	528
405	360	527
406	361	526
407	361	524
408	362	523
409	362	521
410	363	520
411	363	519
412	364	517
413	364	516
414	365	514
415	365	513
416	366	511
417	366	510
418	367	509
419	367	507
420	368	506
421	369	505
422	369	503
423	370	502
424	370	501
425	371	499
426	371	498
427	372	497
428	372	495
429	373	494
430	373	493
431	374	491
432	374	490
433	375	489
434	375	488
435	376	487
436	377	485
437	377	484
438	378	483
439	378	481
440	379	480
441	379	479
442	379	477
443	380	476
444	381	475
445	381	474
446	382	472
447	382	471
448	383	470
449	383	468
450	384	467
451	384	466
452	385	465
453	385	463
454	386	462
455	386	461
456	387	460
457	387	459
458	388	458
459	389	456
460	389	455
461	390	454
462	390	453
463	391	452
464	391	450
465	392	449
466	393	448
467	393	447
468	394	446
469	394	444
470	395	443
471	395	442
472	396	441
473	396	440
474	397	438
475	397	437
476	398	436
477	398	435
478	399	434
479	399	433
480	400	432
481	400	430
482	401	429
483	401	428
484	402	427
485	403	426
486	403	425
487	404	424
488	404	422
489	405	421
490	405	420
491	406	419
492	406	418
493	407	417
494	407	416
495	408	415
496	409	414
497	409	413
498	410	412
499	411	411
500	411	410
501	412	409
502	412	408
503	413	406
504	414	405
505	414	404
506	415	403
507	415	402
508	415	401
509	416	400
510	416	399
511	417	397
512	418	397
513	418	395
514	419	395
515	420	393
516	432	404
517	434	403
518	435	403
519	436	403
520	437	402
521	439	402
522	440	401
523	441	401
524	442	400
525	443	399
526	444	399
527	445	398
528	447	398
529	448	397
530	449	397
531	450	396
532	451	396
533	452	395
534	453	394
535	454	393
536	456	393
537	457	392
538	457	391
539	458	390
540	459	390
541	460	389
542	461	388
543	462	387
544	463	386
545	464	385
546	465	385
547	466	384
548	467	383
549	468	382
550	469	382
551	469	381
552	470	380
553	471	379
554	472	378
555	473	378
556	474	377
557	475	376
558	476	375
559	476	374
560	477	373
561	478	372
562	478	371
563	479	370
564	480	370
565	481	369
566	482	368
567	482	367
568	483	366
569	484	365
570	485	364
571	485	363
572	486	362
573	486	361
574	487	360
575	488	359
576	488	358
577	489	357
578	489	356
579	490	355
580	491	354
581	491	353
582	492	352
583	493	351
584	493	350
585	494	349
586	495	348
587	496	347
588	496	346
589	497	345
590	498	345
591	499	344
592	499	343
593	500	342
594	501	341
595	501	340
596	502	339
597	503	338
598	504	337
599	505	336
600	506	335
601	506	335
602	507	334
603	508	333
604	508	332
605	509	331
606	510	330
607	510	329
608	511	328
609	512	327
610	512	326
611	513	325
612	514	324
613	514	323
614	515	322
615	515	321
616	516	320
617	517	319
618	517	318
619	518	317
620	518	316
621	519	315
622	519	314
623	520	313
624	520	312
625	521	311
626	522	310
627	522	309
628	523	308
629	524	307
630	524	306
631	525	305
632	526	304
633	526	303
634	527	303
635	527	302
636	528	301
637	529	300
638	529	299
639	530	298
640	531	297
641	531	296
642	532	295
643	533	294
644	533	293
645	534	292
646	534	291
647	535	290
648	536	289
649	536	288
650	537	288
651	537	287
652	538	286
653	538	285
654	539	284
655	539	283
656	540	282
657	541	281
658	541	280
659	542	279
660	543	278
661	543	277
662	544	276
663	545	275
664	546	275
665	546	274
666	547	273
667	547	272
668	548	271
669	550	271
670	551	270
671	551	269
672	552	268
673	553	267
674	554	266
675	555	266
676	556	265
677	557	264
678	557	263
679	558	262
680	559	262
681	560	261
682	561	260
683	562	259
684	563	258
685	563	258
686	564	257
687	565	256
688	566	255
689	567	254
690	567	253
691	569	253
692	570	252
693	570	251
694	571	250
695	572	249
696	572	249
697	573	248
698	574	247
699	574	246
700	575	245
701	576	244
702	576	243
703	577	242
704	578	241
705	578	241
706	579	240
707	580	239
708	581	238
709	581	237
710	582	236
711	583	235
712	584	235
713	584	234
714	585	233
715	586	232
716	586	231
717	587	230
718	588	229
719	588	228
720	589	228
721	590	227
722	590	226
723	591	225
724	591	224
725	592	223
726	593	222
727	593	221
728	594	220
729	595	220
730	595	219
731	596	218
732	597	217
733	598	216
734	598	215
735	599	215
736	600	214
737	601	213
738	601	212
739	602	211
740	603	210
741	603	210
742	604	209
743	605	208
744	606	207
745	606	206
746	608	206
747	608	205
748	609	204
749	610	203
750	610	202
751	611	201
752	612	200
753	612	199
754	613	199
755	614	198
756	614	197
757	615	196
758	616	195
759	616	194
760	617	193
761	617	193
762	618	192
763	619	191
764	619	190
765	620	189
766	620	188
767	621	187
768	622	186
769	622	185
770	623	185
771	623	184
772	624	183
773	624	182
774	625	181
775	626	180
776	626	179
777	627	179
778	627	178
779	628	177
780	629	176
781	629	175
782	630	174
783	630	173
784	631	172
785	632	172
786	632	171
787	633	170
788	634	169
789	635	168
790	635	167
791	636	167
792	636	166
793	637	165
794	637	164
795	638	163
796	638	162
797	639	161
798	640	161
799	640	160
800	641	159
801	642	158
802	642	157
803	643	156
804	643	155
805	644	155
806	645	154
807	645	153
808	646	152
809	646	151
810	647	150
811	647	149
812	648	149
813	648	148
814	649	147
815	649	146
816	650	145
817	651	144
818	651	143
819	652	143
820	652	142
821	653	141
822	653	140
823	654	139
824	654	138
825	655	138
826	656	137
827	656	136
828	657	135
829	658	134
830	658	133
831	659	133
832	659	132
833	660	131
834	661	130
835	661	129
836	662	129
837	663	128
838	663	127
839	664	126
840	665	125
841	665	124
842	666	124
843	666	123
844	667	122
845	668	121
846	668	120
847	669	119
848	669	119
849	670	118
850	670	117
851	671	116
852	672	115
853	673	115
854	673	114
855	674	113
856	674	112
857	675	111
858	675	110
859	676	110
860	676	109
861	677	108
862	678	107
863	678	106
864	679	105
865	679	105
866	680	104
867	681	103
868	681	102
869	682	101
870	682	101
871	683	100
872	683	99
873	684	98
874	684	97
875	685	97
876	685	96
877	686	95
878	687	94
879	687	93
880	688	92
881	689	92
882	689	91
883	690	90
884	691	89
885	691	89
886	692	88
887	692	87
888	693	86
889	694	85
890	694	84
891	695	84
892	696	83
893	696	82
894	697	81
895	697	80
896	698	80
897	698	79
898	699	78
899	699	77
900	700	76
901	701	76
902	701	75
903	702	74
904	702	73
905	703	72
906	704	72
907	704	71
908	705	70
909	705	69
910	706	69
911	706	68
912	707	67
913	707	66
914	708	65
915	708	65
916	709	64
917	710	63
918	710	62
919	711	61
920	712	61
921	712	60
922	713	59
923	714	58
924	714	57
925	715	57
926	716	56
927	717	55
928	717	54
929	718	54
930	719	53
931	719	52
932	720	51
933	721	50
934	721	50
935	722	49
936	723	48
937	723	47
938	724	47
939	725	46
940	726	45
941	726	44
942	727	43
943	727	43
944	728	42
945	729	41
946	730	40
947	730	40
948	731	39
949	731	38
950	732	37
951	733	36
952	734	36
953	734	35
954	735	34
955	736	33
956	736	33
957	737	32
958	738	31
959	738	30
960	739	30
961	740	29
962	741	28
963	741	27
964	742	26
965	742	26
966	743	25
967	744	24
968	744	23
969	745	23
970	745	22
971	746	21
972	746	20
973	747	19
974	747	19
975	748	18
976	749	17
977	749	16
978	750	16
979	750	15
980	751	14
981	752	13
982	752	13
983	753	12
984	753	11
985	754	10
986	754	9
987	755	9
988	755	8
989	756	7
990	756	6
991	757	6
992	758	5
993	758	4
994	759	3
995	759	3
996	760	2
997	760	1
998	761	0
999	761	0
